CA_on,p,py,w,h,t
1,0.0001,0,6,9,22619.4
0,0.0001,0,6,9,1407.59
1,0.0001,0,6,9,32235.2
0,0.0001,0,6,9,603.53
1,0.0001,0,6,9,64891.5
0,0.0001,0,6,9,368.169
1,0.0001,0,6,9,94912.3
0,0.0001,0,6,9,1298.42
1,0.0001,0,6,9,91574.3
0,0.0001,0,6,9,578.137
1,0.0001,0,6,9,21553.6
0,0.0001,0,6,9,1163.64
1,0.0001,0,6,9,2206.53
0,0.0001,0,6,9,1591.71
1,0.0001,0,6,9,39929.9
0,0.0001,0,6,9,637.362
1,0.0001,0,6,9,7616.15
0,0.0001,0,6,9,911.423
1,0.0001,0,6,9,82376.7
0,0.0001,0,6,9,1513.22
1,0.0001,0,6,9,50236
0,0.0001,0,6,9,732.439
1,0.0001,0,6,9,98977.9
0,0.0001,0,6,9,397.735
1,0.0001,0,6,9,53265.4
0,0.0001,0,6,9,810.034
1,0.0001,0,6,9,16763.3
0,0.0001,0,6,9,2112.49
1,0.0001,0,6,9,193671
0,0.0001,0,6,9,1134.6
1,0.0001,0,6,9,22222.7
0,0.0001,0,6,9,625.329
1,0.0001,0,6,9,396456
0,0.0001,0,6,9,1697.85
1,0.0001,0,6,9,38593.9
0,0.0001,0,6,9,1175.53
1,0.0001,0,6,9,84017.3
0,0.0001,0,6,9,852.676
1,0.0001,0,6,9,312493
0,0.0001,0,6,9,870.476
1,0.0001,0,6,9,25704.9
0,0.0001,0,6,9,901.839
1,0.0001,0,6,9,38815.5
0,0.0001,0,6,9,1228.39
1,0.0001,0,6,9,287514
0,0.0001,0,6,9,777.995
1,0.0001,0,6,9,98190.9
0,0.0001,0,6,9,906.897
1,0.0001,0,6,9,127123
0,0.0001,0,6,9,1206.71
1,0.0001,0,6,9,46330.2
0,0.0001,0,6,9,1167.34
1,0.0001,0,6,9,212478
0,0.0001,0,6,9,324.422
1,0.0001,0,6,9,134219
0,0.0001,0,6,9,1868.44
1,0.0001,0,6,9,56603.9
0,0.0001,0,6,9,1300.29
1,0.0001,0,6,9,178774
0,0.0001,0,6,9,2089.51
